monterrey,0.74999
macroplaza,0.74969
conocer,0.74889
di,0.74571
luis,0.74536
llegar,0.74029
san,0.73703
coordinador,0.73481
gorditas,0.72487
pacífico,0.72175
desayunando,0.72145
últimas,0.72138
posiblemente,0.7213
café,0.72115
cuando,0.70384
como,0.69344
barbosa,0.69075
enfrentamos,0.69
garcía,0.68334
cuitláhuac,0.68116
privdemandar,0.67822
la,0.66429
cariñoso,0.65921
saludo,0.65778
mandan,0.65511
lo,0.65456
presidencia,0.65344
será,0.63189
de,0.63104
nuestros,0.63035
sonríe,0.62839
miguel,0.62316
no,0.58071
candidatos,0.58051
puebla,0.54968
próximo,0.54109
presidente,0.53962
cerramos,0.5298
al,0.52403
mbarbosamx,0.52325
esperanza,0.50908
gobierno,0.50492
veracruz,0.50276
pueblaconamlo,0.48621
losfuertesamlo,0.48606
soldados,0.47731
marinos,0.47706
gobernador,0.46658
infundados,0.46212
rumores,0.46205
corrupción,0.46202
envié,0.46128
perversos,0.46101
t.c,0.45516
campaña,0.44817
le,0.43128
vota,0.42633
yeidckol,0.42629
resiste,0.42408
reyes,0.42016
logro,0.41836
despreciable,0.4182
cultura,0.41321
lcnk2necli,0.41172
macro,0.4113
demuestra,0.40484
ksijiuqqr4,0.39939
plantea,0.39707
alefrausto,0.3906
es,0.39056
opinión,0.38714
manifestó,0.38058
distintivo,0.38026
pública,0.3799
calor,0.37989
etapa,0.37881
próspe,0.378
estamos,0.37738
bastiones,0.37407
apoya,0.37347
e,0.37276
última,0.36947
darán,0.36794
ante,0.36744
con,0.3624
mensaje,0.35489
norte,0.35065
joseameadek,0.9163
envivo,0.73853
encuentro,0.71055
límites,0.6859
previstos,0.68588
expresión,0.68524
constitución,0.68471
libertad,0.68242
respetar,0.68165
descalificar,0.66992
debe,0.64603
ganador,0.62512
detiene,0.62328
aspiramos,0.6211
determinación,0.60999
g,0.60771
veo,0.60679
dividido,0.59919
avan,0.59838
tenemos,0.59832
resuelve,0.59819
perdedor,0.59809
educación,0.59379
unido,0.58635
sin,0.58121
problemas,0.57997
ganaremos,0.57169
llevado,0.57117
apostarle,0.56531
recorrer,0.56032
cancha,0.55975
arduo,0.55924
consolidaremos,0.55922
maestras,0.55606
potencia,0.55579
volteen,0.55268
conmigo,0.54954
mexicanas,0.54596
república,0.54323
cita,0.54262
llegó,0.53688
tendremos,0.53686
dentro,0.53578
salgan,0.53216
militantes,0.52356
técnica,0.52283
sea,0.52001
seguimos,0.51552
apoyamos,0.51546
méxico,0.50905
jugar,0.50638
toluca,0.48707
k6cb453a5a,0.48142
millones,0.48044
maestros,0.47711
estado,0.4769
equivocarnos,0.47034
mejor,0.46896
duran,0.467
siempre,0.46647
futuro,0.46243
consecuencias,0.46013
avanzar,0.45574
yo,0.44702
petroleros,0.44634
segundos,0.44629
resueltos,0.44503
certidum,0.44478
semana,0.44472
minatitlán,0.4414
hijos,0.44057
ver,0.43847
pri_nacional,0.43598
cuenten,0.43586
toma,0.43555
e,0.43083
felicidades,0.42941
6,0.42924
trabajo,0.42859
abanderar,0.42854
tehuacán,0.42684
se,0.4255
y,0.42545
nuevaalianza,0.42538
inversión,0.42229
invirtamos,0.42131
res,0.42131
antorcha,0.42109
xtajjjzn1b,0.41981
campesina,0.41884
sus,0.41882
desarrollo,0.41777
hidalgo,0.41708
coatzacoalcos,0.41354
único,0.41354
sectores,0.41315
nada,0.4105
87kcb8lrvn,0.40965
o5azlemyml,0.40679
piensa,0.40032

